Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,low_rank_min,low_rank_winner,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax,gap3_over_gamma,gap4_over_gamma,gap5_over_gamma,gap6_over_gamma,gap7_over_gamma,gap8_over_gamma,gap9_over_gamma,gap10_over_gamma
0.2,0.05,0.09798250938446462,0.2683954495224243,0.09798250938446462,1,3,0.28442998590636354,0.1864474765218989,1,0.28442998590636354,0.3068921931075063,0.33334625749000385,0.3620436836698631,0.3914873755962947,0.4205289501854011,0.448453264974406,0.47494336017378086
0.2,0.051166666666666666,0.09789037524162644,0.26865580962683255,0.09789037524162644,1,3,0.28455590962472505,0.1866655343830986,1,0.28455590962472505,0.3069707865912783,0.3334044850514049,0.36209379566014116,0.391535792807785,0.4205788765480555,0.44850586621970395,0.4749986103559629
0.2,0.052333333333333336,0.09779639356605638,0.2689228659446928,0.09779639356605638,1,3,0.2846847735292099,0.18688837996315352,1,0.2846847735292099,0.3070511908651177,0.33346404972128235,0.36214505627182797,0.39158531915786376,0.4206299476540355,0.4485596755957603,0.4750551316983696
0.2,0.053500000000000006,0.09770058162833171,0.26919666946383386,0.09770058162833171,1,3,0.2848165799279928,0.18711599829966108,1,0.2848165799279928,0.30713340576441983,0.3335249510895096,0.3621974650113495,0.39163595412691227,0.4206821630379477,0.4486146927530203,0.4751129239842951
0.2,0.05466666666666667,0.09760295691262122,0.2694772727548152,0.09760295691262122,1,3,0.28495133116421706,0.18734837425159584,1,0.28495133116421706,0.30721743111699723,0.33358718873571663,0.3622510213736931,0.39168769718341245,0.42073552222365346,0.44867091733379233,0.4751719869919743
0.2,0.05583333333333333,0.09750353710734103,0.2697647300019465,0.09750353710734103,1,3,0.28508902961471616,0.18758549250737513,1,0.28508902961471616,0.3073032667428279,0.33365076222923035,0.3623057248423734,0.39174054778386774,0.4207900247242542,0.44872834897225533,0.47523232049455233
0.2,0.057,0.09740234009582235,0.2700590970351261,0.09740234009582235,1,3,0.2852296776887129,0.18782733759289053,1,0.2852296776887129,0.307390912453781,0.33371567112898715,0.3623615748894105,0.39179450537283883,0.42084567004206996,0.4487869872944016,0.4752939242600626
0.2,0.05816666666666667,0.09729938394700646,0.27036043136248256,0.09729938394700646,1,3,0.2853732778264464,0.18807389387943993,1,0.2853732778264464,0.30748036805334233,0.3337819149834862,0.3624185709753309,0.39184956938292015,0.42090245766863077,0.4488468319180538,0.47535679805144976
0.2,0.059333333333333335,0.09719468690617461,0.27066879220381157,0.09719468690617461,1,3,0.2855198324977823,0.18832514559160768,1,0.2855198324977823,0.30757163333632104,0.3338494933306961,0.36247671254910707,0.39190573923470845,0.42096038708464706,0.44890788245282054,0.47542094162651927
0.2,0.0605,0.09708826738572032,0.27098424052477454,0.09708826738572032,1,3,0.28566934420075457,0.18858107681503425,1,0.28566934420075457,0.3076647080885765,0.33391840569800213,0.3625359990481722,0.3919630143367966,0.42101945775999855,0.44897013850009654,0.4754863547379525
0.2,0.06166666666666667,0.09698014395597152,0.2713068390718543,0.09698014395597152,1,3,0.28582181546007884,0.18884167150410733,1,0.28582181546007884,0.30775959208670994,0.3339886516021165,0.3625964298983657,0.3920213940857668,0.42107966915371636,0.4490335996530286,0.47555303713325947
0.2,0.06283333333333334,0.09687033533607395,0.27163665240802193,0.09687033533607395,1,3,0.28597724882560355,0.1891069134895296,1,0.28597724882560355,0.307856285097768,0.3340602305490095,0.362658004513933,0.3920808778661586,0.4211410207139627,0.4490982654965231,0.4756209885548025
0.2,0.064,0.09675886038493828,0.2719737469490881,0.09675886038493828,1,3,0.2861356468707244,0.18937678648578612,1,0.2861356468707244,0.3079547868789341,0.3341331420338291,0.3627207222974845,0.39214146505046243,0.42120351187800337,0.44916413560719987,0.47569020873974693
0.2,0.06516666666666666,0.09664573809226429,0.2723181910006832,0.09664573809226429,1,3,0.28629701219073433,0.18965127409847005,1,0.28629701219073433,0.30805509717720414,0.33420738554082413,0.3627845826399862,0.39220315499910335,0.4212671420722115,0.4492312095533686,0.4757606974200717
0.2,0.06633333333333333,0.09653098756964293,0.2726700547958412,0.09653098756964293,1,3,0.2864613474011404,0.18993035983149745,1,0.2864613474011404,0.30815721572907967,0.3342829605432631,0.3628495849207144,0.39226594706042256,0.4213319107120148,0.44929948689504456,0.47583245432254645
0.2,0.0675,0.09641462804174714,0.27302941053309204,0.09641462804174714,1,3,0.28662865513591174,0.1902140270941646,1,0.28662865513591174,0.30826114226022444,0.334359866503352,0.3629157285072451,0.39232984057066,0.4213978172018972,0.4493689671838755,0.47590547916870174
0.2,0.06866666666666667,0.0962966788376205,0.2733963324150233,0.0962966788376205,1,3,0.28679893804568396,0.19050225920806346,1,0.28679893804568396,0.3083668764851363,0.334438102872148,0.3629830127554312,0.3923948348539308,0.4214648609353795,0.44943964996318236,0.4759797716748529
0.2,0.06983333333333333,0.09617715938205831,0.2737708966872193,0.09617715938205831,1,3,0.2869721987959067,0.19079503941384837,1,0.2869721987959067,0.3084744181068051,0.3345176690894784,0.3630514370093624,0.3924609292222186,0.4215330412949902,0.449511534767874,0.47605533155200513
0.2,0.07100000000000001,0.09605608918710334,0.2741531816774727,0.09605608918710334,1,3,0.28714844006493406,0.19109235087783072,1,0.28714844006493406,0.30858376681635624,0.3345985645838553,0.363121000601347,0.39252812297535433,0.42160235765223397,0.44958462112447234,0.4761321585059492
0.2,0.07216666666666667,0.09593348784364797,0.27454326783518856,0.09593348784364797,1,3,0.2873276645420512,0.19139417669840325,1,0.2873276645420512,0.3086949222927085,0.33468078877237745,0.363191702851877,0.3925964154009941,0.42167280936759793,0.4496589085510771,0.47621025223713526
0.2,0.07333333333333333,0.0958093750131554,0.2749412377708314,0.0958093750131554,1,3,0.28750987492546115,0.19170049991230576,1,0.28750987492546115,0.30880788420219507,0.3347643410606524,0.3632635430696148,0.392665805774608,0.4217443957905041,0.4497343965573275,0.4762896124407346
0.2,0.0745,0.09568377041950196,0.2753471762952939,0.09568377041950196,1,3,0.2876950739201941,0.19201130350069215,1,0.2876950739201941,0.3089226521982099,0.33484922084270213,0.3633365205513465,0.39273629335944615,0.42181711625929585,0.44981108464439595,0.47637023880657653
0.2,0.07566666666666666,0.09555669384094617,0.27576117045902065,0.09555669384094617,1,3,0.28788326423595917,0.192326570395013,1,0.28788326423595917,0.3090392259208128,0.33493542750086625,0.36341063458196965,0.39280787740654705,0.4218909701012229,0.44988897230497965,0.47645213101916134
0.2,0.07683333333333334,0.09542816510223057,0.2761833095907124,0.09542816510223057,1,3,0.2880744485849395,0.19264628348270896,1,0.2880744485849395,0.3091576049963666,0.3350229604057099,0.3634858844344484,0.3928805571546808,0.4219659566323993,0.449968059023213,0.47653528875759754
0.2,0.078,0.09529820406681347,0.2766136853353995,0.09529820406681347,1,3,0.2882686296795173,0.1929704256127038,1,0.2882686296795173,0.3092777890371312,0.3351118189159279,0.3635622693698006,0.3929543318303725,0.4220420751577972,0.4500483442747389,0.4766197116956493
0.2,0.07916666666666666,0.09516683062924533,0.2770523916916608,0.09516683062924533,1,3,0.2884658102299444,0.19329897960069906,1,0.2884658102299444,0.3093997776408703,0.33520200237825054,0.3636397886370559,0.39302920064784375,0.4221193249712197,0.4501298275265921,0.4767053995016535
0.2,0.08033333333333334,0.09503406470768283,0.2774995250477364,0.09503406470768283,1,3,0.2886659929419258,0.19363192823424297,1,0.2886659929419258,0.3095235703904495,0.3352935101273414,0.36371844147322474,0.3931051628090221,0.42219770535526874,0.45021250823725184,0.47679235183854946
0.2,0.0815,0.09489992623654969,0.2779551842162251,0.09489992623654969,1,3,0.2888691805141571,0.19396925427760742,1,0.2888691805141571,0.30964916685342747,0.33538634148569546,0.3637982271032764,0.39318221750349536,0.4222772155813265,0.45029638585654563,0.4768805683638311
0.2,0.08266666666666667,0.09476443515934602,0.27841947046705395,0.09476443515934602,1,3,0.289075375635783,0.194310940476437,1,0.289075375635783,0.3097765665816243,0.3354804957635426,0.3638791447401006,0.39326036390852126,0.4223578549095356,0.4503814598256798,0.47697004872953175
0.2,0.08383333333333333,0.09462761142160664,0.2788924875583482,0.09462761142160664,1,3,0.28928458098377813,0.1946569695621715,1,0.28928458098377813,0.3099057691107138,0.3355759722587398,0.36396119358447765,0.3933396011889728,0.4224396225887598,0.4504677295771865,0.4770607925822072
0.2,0.08499999999999999,0.09448947496401311,0.27937434176479536,0.09448947496401311,1,3,0.2894967992202727,0.1950073242562596,1,0.2894967992202727,0.3100367739597753,0.3356727702566667,0.36404437282504853,0.3934199284973504,0.4225225178565748,0.45055519453490017,0.4771527995629305
0.2,0.08616666666666667,0.09435004571566147,0.27986514190303924,0.09435004571566147,1,3,0.28971203298978543,0.19536198727412396,1,0.28971203298978543,0.3101695806308622,0.33577088903012503,0.36412868163827977,0.39350134497372363,0.42260653993922365,0.45064385411393454,0.4772460693072395
0.2,0.08733333333333333,0.09420934358748553,0.28036499935358733,0.09420934358748553,1,3,0.2899302849163964,0.19572094132891085,1,0.2899302849163964,0.31030418860855113,0.33587032783921905,0.3642141191884284,0.39358384974575317,0.4226916880516134,0.4507337077206546,0.47734060144515444
